"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Giovanny Urshela","Blue Jays","19","46","1","7","3","0","4.3 %","21.7 %",".093",".281",".233",".283",".326",".270","67","0.3","-1.5","0.2","0.0","10681"
"Yairo Munoz","Cardinals","108","329","8","39","42","5","9.1 %","21.6 %",".137",".338",".276",".350",".413",".326","106","-1.9","0.3","-10.5","0.0","16313"
"Sean Rodriguez","Pirates","66","173","5","21","19","1","12.7 %","34.7 %",".147",".235",".167",".277",".313",".264","64","1.4","-6.2","0.8","0.0","6589"
"Nolan Fontana","Angels","8","12","1","1","1","0","8.3 %","50.0 %",".273",".000",".091",".167",".364",".227","41","0.1","-0.8","0.2","0.0","13267"
"Abiatal Avelino","Giants","6","11","0","1","0","0","0.0 %","27.3 %",".000",".375",".273",".273",".273",".240","49","0.2","-0.5","-0.4","-0.1","15496"
"Scott Kingery","Phillies","147","484","8","55","35","10","5.0 %","26.0 %",".113",".291",".226",".267",".338",".263","62","3.4","-19.3","3.4","-0.1","17975"
"Blake Trahan","Reds","11","14","0","2","0","0","0.0 %","28.6 %",".000",".300",".214",".214",".214",".188","10","-0.2","-1.8","0.4","-0.1","17588"
"Nate Orf","Brewers","15","25","1","4","1","1","12.0 %","32.0 %",".143",".083",".095",".240",".238",".228","37","0.0","-1.9","0.2","-0.1","15407"
"Engelb Vielma","Orioles","6","8","0","1","0","0","12.5 %","50.0 %",".000",".333",".143",".250",".143",".196","16","0.0","-0.8","-0.6","-0.1","15481"
"Hanser Alberto","Rangers","13","30","0","0","0","0","6.7 %","13.3 %",".074",".217",".185",".241",".259",".225","29","-0.3","-2.9","0.0","-0.2","11902"
"Javier Guerra","Padres","13","19","0","2","1","0","15.8 %","47.4 %",".000",".286",".125",".263",".125",".201","23","0.2","-1.6","-1.3","-0.2","17292"
"Alcides Escobar","Royals","140","531","4","54","34","8","5.5 %","13.9 %",".082",".263",".231",".279",".313",".261","60","2.5","-23.1","2.9","-0.3","6310"
"Gift Ngoepe","Blue Jays","13","19","0","2","0","0","5.3 %","63.2 %",".000",".167",".056",".105",".056",".083","-60","0.2","-3.4","-0.5","-0.3","10340"
"Cliff Pennington","Reds","16","34","0","1","0","0","14.7 %","38.2 %",".000",".250",".138",".265",".138",".205","21","-0.3","-3.6","-1.1","-0.4","3395"
"Orlando Arcia","Brewers","119","366","3","32","30","7","4.1 %","23.8 %",".072",".305",".236",".268",".307",".253","54","0.5","-20.2","4.4","-0.4","13185"
"Tim Beckham","Orioles","96","402","12","45","35","1","6.7 %","24.9 %",".144",".282",".230",".287",".374",".288","79","-1.9","-11.9","-6.0","-0.5","7949"
"Yadiel Rivera","Marlins","111","160","1","13","9","2","11.9 %","31.9 %",".043",".258",".173",".269",".216",".219","37","-0.5","-12.8","3.2","-0.5","11863"
"Kelby Tomlinson","Giants","63","152","0","9","10","0","5.9 %","23.0 %",".057",".276",".207",".265",".264",".239","48","-0.7","-10.4","0.7","-0.5","13005"
"Eric Sogard","Brewers","55","113","0","7","2","3","10.6 %","20.4 %",".031",".173",".134",".241",".165",".194","14","1.2","-10.6","-0.6","-0.8","7927"
"Kevin Newman","Pirates","31","97","0","7","6","0","4.1 %","23.7 %",".022",".275",".209",".247",".231",".211","28","-1.2","-9.6","-1.1","-0.8","17696"
"Jose Reyes","Mets","110","251","4","30","16","5","8.8 %","15.5 %",".132",".211",".189",".260",".320",".255","62","-0.5","-12.3","-4.2","-0.9","1736"
"Ronny Rodriguez","Tigers","62","206","5","17","20","2","4.9 %","20.4 %",".115",".253",".220",".256",".335",".257","58","-0.8","-11.1","-5.2","-1.0","11875"
