"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Taylor Davis","Cubs","5","6","0","0","2","0","0.0 %","16.7 %",".000",".400",".400",".333",".400",".293","82","0.1","0.0","0.0","0.0","12782"
"Garrett Cooper","Marlins","14","38","0","2","2","0","10.5 %","31.6 %",".030",".333",".212",".316",".242",".263","66","-0.1","-1.7","0.6","0.0","15279"
"Austin Slater","Giants","74","225","1","21","23","7","8.9 %","30.7 %",".055",".377",".251",".333",".307",".287","80","0.8","-4.5","-2.4","0.0","16153"
"Ryan McMahon","Rockies","91","202","5","17","19","1","8.9 %","31.7 %",".144",".327",".232",".307",".376",".296","68","1.6","-6.2","-0.1","0.0","15112"
"Lucas Duda","- - -","107","367","14","35","50","1","7.6 %","27.8 %",".177",".302",".241",".313",".418",".315","97","-3.4","-4.8","-7.3","0.0","2502"
"Efren Navarro","Cubs","4","6","0","0","0","0","0.0 %","66.7 %",".000",".500",".167",".167",".167",".147","-16","0.0","-0.9","-0.1","-0.1","9854"
"A.J. Reed","Astros","1","3","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","-0.1","-0.1","16246"
"Corban Joseph","Orioles","14","19","0","1","3","0","5.3 %","26.3 %",".056",".308",".222",".263",".278",".241","47","0.0","-1.2","-0.2","-0.1","5503"
"Adam Rosales","Indians","13","21","1","4","2","0","4.8 %","23.8 %",".211",".231",".211",".250",".421",".286","74","0.1","-0.5","-1.0","-0.1","9682"
"Christian Walker","Diamondbacks","37","53","3","6","6","1","5.7 %","41.5 %",".224",".208",".163",".226",".388",".264","61","0.1","-2.5","-0.3","-0.1","13419"
"John Hicks","Tigers","81","312","9","35","32","0","7.1 %","26.9 %",".142",".337",".260",".312",".403",".311","95","-2.3","-4.3","-7.1","-0.1","12547"
"Eric Hosmer","Padres","157","677","18","72","69","7","9.2 %","21.0 %",".145",".302",".253",".322",".398",".309","95","-4.2","-8.2","-14.4","-0.1","3516"
"Tomas Telis","Marlins","23","31","0","2","1","0","6.5 %","25.8 %",".034",".286",".207",".258",".241",".227","42","0.0","-2.2","0.0","-0.1","10067"
"Jose Osuna","Pirates","51","111","3","14","11","0","2.7 %","19.8 %",".170",".256",".226",".252",".396",".276","72","0.1","-3.7","-1.1","-0.1","12937"
"Albert Pujols","Angels","117","498","19","50","64","1","5.6 %","13.1 %",".166",".247",".245",".289",".411",".299","90","-2.9","-8.6","-9.3","-0.2","1177"
"Victor Caratini","Cubs","76","200","2","21","21","0","6.0 %","21.0 %",".072",".290",".232",".293",".304",".268","65","0.8","-7.9","-0.1","-0.2","14968"
"Hanley Ramirez","Red Sox","44","195","6","25","29","4","7.2 %","17.9 %",".141",".283",".254",".313",".395",".308","89","-2.4","-5.0","-3.2","-0.2","8001"
"Jarrod Saltalamacchia","Tigers","5","8","0","0","0","0","12.5 %","50.0 %",".000",".000",".000",".125",".000",".086","-58","0.1","-1.4","-0.7","-0.2","5557"
"Trey Mancini","Orioles","156","636","24","69","58","0","6.9 %","24.1 %",".174",".285",".242",".299",".416",".308","93","-0.2","-5.9","-17.2","-0.2","15149"
"Brandon Dixon","Reds","74","124","5","14","10","0","4.8 %","34.7 %",".178",".229",".178",".218",".356",".247","48","0.4","-7.4","1.3","-0.2","15214"
"Taylor Motter","- - -","17","38","1","2","2","1","10.5 %","21.1 %",".088",".160",".147",".237",".235",".219","33","0.2","-2.9","-1.1","-0.3","12399"
"Adrian Gonzalez","Mets","54","187","6","15","26","0","8.0 %","18.2 %",".136",".260",".237",".299",".373",".288","84","-1.7","-5.5","-3.2","-0.3","1908"
"Jefry Marte","Angels","90","209","7","28","22","1","6.2 %","19.6 %",".155",".240",".216",".273",".371",".281","78","-0.3","-5.9","-3.9","-0.3","5107"
"Cheslor Cuthbert","Royals","30","117","3","11","7","0","9.4 %","19.7 %",".107",".218",".194",".282",".301",".263","61","-1.2","-6.6","-1.4","-0.4","10473"
"Jim Adduci","Tigers","59","185","3","19","21","1","3.2 %","24.3 %",".119",".341",".267",".290",".386",".291","81","1.1","-3.0","-7.5","-0.4","6448"
"Dominic Smith","Mets","56","149","5","14","11","0","2.7 %","31.5 %",".196",".297",".224",".255",".420",".288","84","0.2","-2.8","-6.4","-0.5","15653"
"J.D. Davis","Astros","42","113","1","9","5","0","8.8 %","25.7 %",".049",".233",".175",".248",".223",".218","36","0.3","-8.4","-1.0","-0.6","16219"
"Ian Desmond","Rockies","160","619","22","82","88","20","8.6 %","23.6 %",".186",".279",".236",".307",".422",".315","81","0.0","-14.3","-11.9","-0.7","6885"
"Logan Morrison","Twins","95","359","15","41","39","1","9.5 %","22.3 %",".182",".196",".186",".276",".368",".283","74","0.2","-10.8","-8.1","-0.7","9205"
"Hunter Dozier","Royals","102","388","11","36","34","2","6.2 %","28.1 %",".166",".296",".229",".278",".395",".291","80","-3.8","-13.2","-7.1","-0.8","15117"
"Ryon Healy","Mariners","133","524","24","51","73","0","5.2 %","21.6 %",".176",".257",".235",".277",".412",".296","90","-5.3","-11.5","-13.8","-0.8","15447"
"Luis Valbuena","Angels","96","288","9","23","33","3","6.6 %","34.7 %",".135",".277",".199",".253",".335",".253","59","-0.6","-14.8","-3.2","-0.9","4969"
"Pat Valaika","Rockies","68","133","2","8","5","0","6.8 %","22.6 %",".090",".189",".156",".214",".246",".207","9","-0.8","-15.6","-0.7","-1.2","14885"
"Chris Davis","Orioles","128","522","16","40","49","2","7.9 %","36.8 %",".128",".237",".168",".243",".296",".239","46","-1.8","-35.8","-11.7","-3.1","9272"
