"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ildemaro Vargas","Diamondbacks","14","20","1","2","4","1","5.0 %","20.0 %",".158",".214",".211",".250",".368",".268","63","0.1","-0.8","-0.1","0.0","13324"
"Alex Blandino","Reds","69","147","1","14","8","0","8.8 %","27.9 %",".055",".337",".234",".324",".289",".279","70","-0.3","-5.7","0.2","-0.1","16271"
"Gordon Beckham","Mariners","22","50","0","3","1","1","8.0 %","22.0 %",".023",".242",".182",".250",".205",".212","32","0.4","-3.7","1.1","-0.1","9015"
"Phil Gosselin","Reds","20","28","1","5","2","0","14.3 %","28.6 %",".125",".133",".125",".250",".250",".217","29","0.1","-2.3","0.5","-0.1","10953"
"Matt Reynolds","Nationals","12","14","0","1","1","0","7.1 %","28.6 %",".000",".222",".154",".214",".154",".175","1","0.0","-1.7","0.2","-0.1","13788"
"Jack Reinheimer","Mets","21","35","0","4","0","1","14.3 %","25.7 %",".000",".238",".167",".286",".167",".224","41","0.1","-2.4","0.0","-0.1","14938"
"Jose Osuna","Pirates","51","111","3","14","11","0","2.7 %","19.8 %",".170",".256",".226",".252",".396",".276","72","0.1","-3.7","-1.1","-0.1","12937"
"Phillip Evans","Mets","15","23","0","1","1","1","8.7 %","34.8 %",".000",".231",".143",".217",".143",".175","8","-0.1","-2.7","0.2","-0.2","12950"
"Hanser Alberto","Rangers","13","30","0","0","0","0","6.7 %","13.3 %",".074",".217",".185",".241",".259",".225","29","-0.3","-2.9","0.0","-0.2","11902"
"Mitch Walding","Phillies","13","19","1","1","2","0","10.5 %","63.2 %",".176",".000",".059",".158",".235",".179","6","-0.1","-2.3","-0.3","-0.2","13006"
"Ty Kelly","Mets","9","12","0","1","0","0","8.3 %","16.7 %",".000",".111",".091",".167",".091",".131","-21","-0.3","-2.1","-0.4","-0.2","7740"
"Luis Guillorme","Mets","35","74","0","4","5","1","9.5 %","4.1 %",".030",".219",".209",".284",".239",".242","53","0.7","-3.6","-1.0","-0.2","16451"
"Brandon Phillips","Red Sox","9","27","1","4","2","0","14.8 %","25.9 %",".130",".133",".130",".259",".261",".243","44","-0.3","-2.1","-1.2","-0.3","791"
"Ramon Torres","Royals","9","29","0","4","1","0","3.4 %","10.3 %",".036",".200",".179",".207",".214",".188","10","0.0","-3.1","-0.5","-0.3","14113"
"Steve Wilkerson","Orioles","16","49","0","2","3","1","6.1 %","32.7 %",".065",".267",".174",".224",".239",".208","25","-0.6","-5.0","0.5","-0.3","16041"
"Kaleb Cowart","Angels","47","124","1","7","10","1","8.1 %","35.5 %",".107",".206",".134",".210",".241",".203","25","0.1","-11.0","3.8","-0.3","11494"
"Jace Peterson","- - -","96","246","3","21","28","13","12.6 %","23.6 %",".124",".260",".200",".310",".324",".286","78","-1.1","-7.6","-3.7","-0.3","12325"
"Deven Marrero","Diamondbacks","49","85","0","11","7","3","7.1 %","27.1 %",".038",".232",".167",".224",".205",".196","15","-0.6","-9.5","3.5","-0.3","13325"
"Eduardo Nunez","Red Sox","127","502","10","56","44","7","3.2 %","13.7 %",".123",".290",".265",".289",".388",".292","78","-6.2","-19.6","-0.3","-0.3","6848"
"Danny Valencia","Orioles","79","282","9","28","28","1","7.8 %","18.8 %",".145",".293",".263",".316",".408",".310","94","-4.0","-6.0","-6.7","-0.3","6364"
"Jesmuel Valentin","Phillies","46","89","1","8","6","0","9.0 %","27.0 %",".127",".236",".177",".258",".304",".250","53","0.5","-4.6","-1.6","-0.4","14548"
"Kevin Kramer","Pirates","21","40","0","5","4","0","5.0 %","50.0 %",".000",".278",".135",".175",".135",".144","-16","0.8","-4.9","0.0","-0.4","17689"
"Cliff Pennington","Reds","16","34","0","1","0","0","14.7 %","38.2 %",".000",".250",".138",".265",".138",".205","21","-0.3","-3.6","-1.1","-0.4","3395"
"Ryan Flaherty","Braves","81","182","2","17","13","4","9.9 %","22.5 %",".075",".277",".217",".298",".292",".258","57","-0.3","-10.0","0.4","-0.4","7888"
"Cheslor Cuthbert","Royals","30","117","3","11","7","0","9.4 %","19.7 %",".107",".218",".194",".282",".301",".263","61","-1.2","-6.6","-1.4","-0.4","10473"
"Chase Headley","Padres","27","60","0","2","4","0","10.0 %","33.3 %",".019",".188",".115",".233",".135",".187","13","-0.5","-6.9","0.7","-0.4","4720"
"Martin Prado","Marlins","54","209","1","16","18","1","5.3 %","16.7 %",".061",".292",".244",".287",".305",".263","66","-1.7","-10.3","-0.7","-0.5","3312"
"Tim Beckham","Orioles","96","402","12","45","35","1","6.7 %","24.9 %",".144",".282",".230",".287",".374",".288","79","-1.9","-11.9","-6.0","-0.5","7949"
"Yadiel Rivera","Marlins","111","160","1","13","9","2","11.9 %","31.9 %",".043",".258",".173",".269",".216",".219","37","-0.5","-12.8","3.2","-0.5","11863"
"Brandon Drury","- - -","26","86","1","5","10","0","8.1 %","23.3 %",".091",".214",".169",".256",".260",".236","44","-1.7","-7.6","-0.5","-0.5","11615"
"J.D. Davis","Astros","42","113","1","9","5","0","8.8 %","25.7 %",".049",".233",".175",".248",".223",".218","36","0.3","-8.4","-1.0","-0.6","16219"
"Hunter Dozier","Royals","102","388","11","36","34","2","6.2 %","28.1 %",".166",".296",".229",".278",".395",".291","80","-3.8","-13.2","-7.1","-0.8","15117"
"Luis Valbuena","Angels","96","288","9","23","33","3","6.6 %","34.7 %",".135",".277",".199",".253",".335",".253","59","-0.6","-14.8","-3.2","-0.9","4969"
"Jose Reyes","Mets","110","251","4","30","16","5","8.8 %","15.5 %",".132",".211",".189",".260",".320",".255","62","-0.5","-12.3","-4.2","-0.9","1736"
"Yangervis Solarte","Blue Jays","122","506","17","50","54","1","6.1 %","14.2 %",".152",".233",".226",".277",".378",".284","77","-7.7","-21.7","-7.5","-1.3","5352"
