"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Franchy Cordero","Padres","40","154","7","19","19","5","9.1 %","35.7 %",".201",".338",".237",".307",".439",".322","104","2.0","2.7","-6.6","0.1","14567"
"Mark Zagunis","Cubs","5","6","0","0","1","0","16.7 %","16.7 %",".200",".500",".400",".500",".600",".469","199","0.0","0.7","0.0","0.1","16565"
"Guillermo Heredia","Mariners","125","337","5","29","19","2","9.5 %","15.4 %",".106",".270",".236",".318",".342",".295","89","-0.9","-5.4","-4.8","0.1","18721"
"Dwight Smith Jr.","Blue Jays","35","75","2","9","8","0","9.3 %","17.3 %",".215",".294",".262",".347",".477",".353","124","0.1","2.2","-3.9","0.1","13473"
"Terrance Gore","Cubs","14","5","0","5","0","6","0.0 %","20.0 %",".000",".250",".200",".200",".200",".176","3","1.3","0.7","0.0","0.1","13658"
"Tim Locastro","Dodgers","18","14","0","6","0","4","14.3 %","35.7 %",".091",".333",".182",".357",".273",".302","91","1.0","0.8","-0.5","0.1","15124"
"Brandon Barnes","Indians","19","21","1","2","2","0","9.5 %","23.8 %",".158",".308",".263",".333",".421",".330","104","-0.5","-0.4","0.5","0.1","629"
"Jay Bruce","Mets","94","361","9","31","37","2","11.4 %","20.8 %",".147",".263",".223",".310",".370",".296","89","0.4","-4.4","-6.3","0.1","9892"
"Danny Santana","Braves","15","32","0","4","2","1","9.4 %","34.4 %",".107",".294",".179",".281",".286",".259","57","0.0","-1.7","1.4","0.1","10322"
"Patrick Kivlehan","Diamondbacks","9","14","0","3","0","0","0.0 %","42.9 %",".308",".429",".231",".286",".538",".340","111","0.0","0.2","0.0","0.1","13910"
"Dee Gordon","Mariners","141","588","4","62","36","30","1.5 %","13.6 %",".081",".304",".268",".288",".349",".277","77","3.5","-13.0","-5.9","0.1","8203"
"Leury Garcia","White Sox","82","275","4","23","32","12","3.3 %","25.1 %",".105",".355",".271",".303",".376",".295","86","0.8","-3.9","-4.7","0.0","5913"
"Michael Hermosillo","Angels","31","62","1","7","1","0","4.8 %","27.4 %",".123",".282",".211",".274",".333",".269","70","-0.1","-2.4","0.8","0.0","16285"
"Kristopher Negron","- - -","20","33","1","6","4","2","3.0 %","27.3 %",".094",".273",".219",".242",".313",".242","52","0.2","-1.7","1.0","0.0","5306"
"Greg Allen","Indians","91","291","2","36","20","21","4.8 %","19.9 %",".087",".320",".257",".310",".343",".288","75","2.7","-5.9","-3.3","0.0","16623"
"Kole Calhoun","Angels","137","552","19","71","57","6","9.6 %","24.1 %",".161",".241",".208",".283",".369",".283","79","-0.9","-14.4","-3.4","0.0","11200"
"Avisail Garcia","White Sox","93","385","19","47","49","3","5.2 %","26.5 %",".202",".271",".236",".281",".438",".304","92","-1.3","-5.0","-7.5","0.0","5760"
"Andrew Toles","Dodgers","17","32","0","5","4","1","6.3 %","25.0 %",".067",".318",".233",".281",".300",".245","53","0.3","-1.5","0.8","0.0","13414"
"Garrett Cooper","Marlins","14","38","0","2","2","0","10.5 %","31.6 %",".030",".333",".212",".316",".242",".263","66","-0.1","-1.7","0.6","0.0","15279"
"Trevor Plouffe","Phillies","7","12","1","1","3","0","0.0 %","50.0 %",".250",".400",".250",".250",".500",".316","97","0.1","0.1","-0.3","0.0","7462"
"Sean Rodriguez","Pirates","66","173","5","21","19","1","12.7 %","34.7 %",".147",".235",".167",".277",".313",".264","64","1.4","-6.2","0.8","0.0","6589"
"Austin Slater","Giants","74","225","1","21","23","7","8.9 %","30.7 %",".055",".377",".251",".333",".307",".287","80","0.8","-4.5","-2.4","0.0","16153"
"Derek Fisher","Astros","42","86","4","13","11","2","5.8 %","48.8 %",".228",".257",".165",".209",".392",".251","59","1.5","-2.8","-0.1","0.0","16192"
"Mason Williams","Reds","51","132","2","10","6","1","5.3 %","22.0 %",".106",".370",".293",".331",".398",".315","94","-0.7","-1.6","-2.6","0.0","11859"
"Raimel Tapia","Rockies","25","27","1","6","6","0","7.4 %","25.9 %",".280",".235",".200",".259",".480",".310","78","0.1","-0.6","-0.3","0.0","14350"
"Michael Reed","Braves","7","7","0","1","0","0","0.0 %","42.9 %",".000",".500",".286",".286",".286",".251","52","0.0","-0.4","0.0","0.0","13228"
"Darnell Sweeney","Blue Jays","2","4","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".345","118","-0.3","-0.2","-0.1","0.0","13284"
"John Andreoli","- - -","26","67","0","4","4","2","7.5 %","28.4 %",".033",".326",".230",".284",".262",".246","51","1.0","-3.0","0.5","0.0","13012"
"Billy McKinney","- - -","38","132","6","14","13","1","8.3 %","25.0 %",".210",".296",".252",".318",".462",".335","112","-1.6","0.2","-4.9","0.0","15654"
"Dalton Pompey","Blue Jays","5","11","0","0","0","0","9.1 %","54.5 %",".000",".500",".200",".273",".200",".223","35","0.3","-0.6","-0.1","0.0","12797"
"Johnny Field","- - -","84","233","9","28","21","4","3.0 %","30.9 %",".181",".284",".222",".254",".403",".281","76","0.4","-6.2","-1.9","0.0","15048"
"Shane Robinson","Yankees","25","54","1","8","2","1","7.4 %","11.1 %",".082",".143",".143",".208",".224",".197","16","0.2","-5.2","3.1","0.0","4249"
"Justin Williams","Rays","1","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","-0.2","-0.5","0.0","0.0","15490"
"Gerardo Parra","Rockies","142","443","6","52","53","11","7.2 %","16.9 %",".087",".334",".284",".342",".372",".313","80","-0.7","-11.8","-2.7","0.0","8553"
"Kevin Kaczmarski","Mets","4","5","0","0","0","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".138","-16","-0.4","-1.1","0.5","-0.1","18146"
"Aristides Aquino","Reds","1","1","0","0","0","0","0.0 %","100.0 %",".000",".000",".000",".000",".000",".000","-100","-0.3","-0.6","0.0","-0.1","15482"
"Gabriel Guerrero","Reds","14","18","1","1","1","0","0.0 %","44.4 %",".167",".222",".167",".167",".333",".211","24","0.1","-1.6","0.4","-0.1","14528"
"Christopher Bostick","- - -","15","18","0","0","2","0","11.1 %","38.9 %",".063",".333",".188",".278",".250",".244","54","-0.1","-1.1","0.0","-0.1","13718"
"Clint Frazier","Yankees","15","41","0","9","1","0","12.2 %","31.7 %",".088",".429",".265",".390",".353",".339","113","-1.9","-1.3","-0.9","-0.1","15983"
"Peter Bourjos","Braves","36","47","1","5","4","0","4.3 %","31.9 %",".159",".286",".205",".239",".364",".258","57","0.5","-2.0","-0.3","-0.1","2578"
"Drew Robinson","Rangers","47","125","3","20","9","2","12.8 %","45.6 %",".110",".347",".183",".288",".294",".265","57","0.9","-5.6","0.5","-0.1","11761"
"Andrew Stevenson","Nationals","57","86","1","9","13","1","7.0 %","26.7 %",".067",".333",".253",".306",".320",".276","68","-0.2","-3.5","-0.3","-0.1","17932"
"Christin Stewart","Tigers","17","72","2","7","10","0","13.9 %","18.1 %",".150",".304",".267",".375",".417",".348","120","-0.3","1.5","-5.0","-0.1","17714"
"Rafael Bautista","Nationals","9","6","0","1","0","0","0.0 %","16.7 %",".000",".000",".000",".000",".000",".000","-100","-0.1","-1.7","0.3","-0.1","15769"
"Anthony Alford","Blue Jays","13","21","0","3","1","1","9.5 %","42.9 %",".000",".200",".105",".190",".105",".149","-15","0.5","-2.4","0.4","-0.1","14329"
"Jack Reinheimer","Mets","21","35","0","4","0","1","14.3 %","25.7 %",".000",".238",".167",".286",".167",".224","41","0.1","-2.4","0.0","-0.1","14938"
"Jose Osuna","Pirates","51","111","3","14","11","0","2.7 %","19.8 %",".170",".256",".226",".252",".396",".276","72","0.1","-3.7","-1.1","-0.1","12937"
"Rajai Davis","Indians","101","216","1","33","6","21","5.1 %","22.2 %",".056",".291",".224",".278",".281",".251","50","2.7","-10.1","1.5","-0.2","3708"
"Sam Travis","Red Sox","19","38","1","5","7","0","5.3 %","26.3 %",".167",".280",".222",".263",".389",".281","70","-0.2","-1.6","-1.2","-0.2","16263"
"Dylan Cozens","Phillies","26","44","1","2","2","1","13.6 %","54.5 %",".132",".385",".158",".273",".289",".257","58","0.4","-1.9","-1.2","-0.2","15115"
"Jonathan Davis","Blue Jays","20","27","0","3","0","3","3.7 %","22.2 %",".040",".263",".200",".259",".240",".229","39","-0.1","-2.1","-0.5","-0.2","15104"
"Braxton Lee","Marlins","8","18","0","0","2","0","5.6 %","44.4 %",".000",".333",".176",".222",".176",".185","14","-0.5","-2.4","0.0","-0.2","16839"
"Preston Tucker","- - -","97","184","6","19","27","0","7.1 %","23.4 %",".175",".271",".229",".299",".404",".306","88","-0.3","-2.9","-4.7","-0.2","13633"
"Mikie Mahtook","Tigers","67","250","9","24","29","4","8.4 %","26.4 %",".157",".238",".202",".276",".359",".276","71","-0.3","-9.0","-1.3","-0.2","13130"
"Ty Kelly","Mets","9","12","0","1","0","0","8.3 %","16.7 %",".000",".111",".091",".167",".091",".131","-21","-0.3","-2.1","-0.4","-0.2","7740"
"Trey Mancini","Orioles","156","636","24","69","58","0","6.9 %","24.1 %",".174",".285",".242",".299",".416",".308","93","-0.2","-5.9","-17.2","-0.2","15149"
"Brandon Dixon","Reds","74","124","5","14","10","0","4.8 %","34.7 %",".178",".229",".178",".218",".356",".247","48","0.4","-7.4","1.3","-0.2","15214"
"Blake Swihart","Red Sox","82","207","3","28","18","6","7.2 %","27.5 %",".099",".311",".229",".285",".328",".271","64","1.0","-8.0","-1.1","-0.2","13176"
"Austin Dean","Marlins","34","122","4","16","14","1","5.7 %","18.0 %",".142",".241",".221",".279",".363",".281","79","1.0","-2.2","-4.1","-0.2","18288"
"Nicky Delmonico","White Sox","88","318","8","31","25","1","8.5 %","25.2 %",".158",".269",".215",".296",".373",".292","84","-1.7","-7.8","-5.2","-0.3","13157"
"Taylor Motter","- - -","17","38","1","2","2","1","10.5 %","21.1 %",".088",".160",".147",".237",".235",".219","33","0.2","-2.9","-1.1","-0.3","12399"
"Cedric Mullins II","Orioles","45","191","4","23","11","2","8.9 %","19.4 %",".124",".279",".235",".312",".359",".298","86","0.1","-3.2","-5.9","-0.3","17929"
"Boog Powell","Athletics","7","25","0","3","0","1","4.0 %","24.0 %",".125",".222",".167",".200",".292",".211","29","-0.2","-2.3","-1.5","-0.3","15103"
"Chris Shaw","Giants","22","62","1","2","7","1","11.3 %","37.1 %",".093",".290",".185",".274",".278",".250","56","0.2","-3.2","-1.8","-0.3","17738"
"Adolis Garcia","Cardinals","21","17","0","3","1","0","0.0 %","41.2 %",".059",".200",".118",".118",".176",".125","-29","-0.1","-2.8","-0.9","-0.3","19287"
"Socrates Brito","Diamondbacks","24","44","1","3","3","0","6.8 %","20.5 %",".075",".194",".175",".227",".250",".213","26","-0.5","-4.5","-0.1","-0.3","12944"
"Jake Smolinski","Athletics","20","41","0","2","2","1","2.4 %","24.4 %",".077",".172",".128",".171",".205",".168","0","-0.9","-5.8","1.3","-0.3","5408"
"Jace Peterson","- - -","96","246","3","21","28","13","12.6 %","23.6 %",".124",".260",".200",".310",".324",".286","78","-1.1","-7.6","-3.7","-0.3","12325"
"Eric Young Jr.","Angels","41","117","1","12","8","5","5.1 %","23.9 %",".101",".259",".202",".248",".303",".241","51","0.9","-5.9","-1.3","-0.3","7158"
"Danny Valencia","Orioles","79","282","9","28","28","1","7.8 %","18.8 %",".145",".293",".263",".316",".408",".310","94","-4.0","-6.0","-6.7","-0.3","6364"
"Byron Buxton","Twins","28","94","0","8","4","5","3.2 %","29.8 %",".044",".226",".156",".183",".200",".170","-3","2.5","-9.1","2.5","-0.4","14161"
"Rob Refsnyder","Rays","40","103","2","10","5","0","17.5 %","25.2 %",".107",".214",".167",".314",".274",".276","74","-1.8","-5.0","-1.8","-0.4","13770"
"Ichiro Suzuki","Mariners","15","47","0","5","0","0","6.4 %","14.9 %",".000",".243",".205",".255",".205",".212","33","0.4","-3.4","-1.7","-0.4","1101"
"Matt Szczur","Padres","57","84","1","11","6","3","9.5 %","28.6 %",".080",".260",".187",".265",".267",".242","50","0.2","-5.0","-1.4","-0.4","11255"
"Anthony Santander","Orioles","33","108","1","8","6","1","5.6 %","19.4 %",".099",".241",".198",".250",".297",".242","48","1.0","-5.8","-1.5","-0.4","14551"
"Steven Souza Jr.","Diamondbacks","72","272","5","21","29","6","10.3 %","27.6 %",".149",".298",".220",".309",".369",".299","84","0.7","-4.6","-7.8","-0.4","5667"
"Mike Gerber","Tigers","18","47","0","2","2","0","8.5 %","44.7 %",".024",".182",".095",".170",".119",".141","-21","-0.3","-7.1","1.4","-0.4","16115"
"Aaron Altherr","Phillies","105","285","8","28","38","3","12.6 %","31.9 %",".152",".247",".181",".295",".333",".282","75","-1.2","-10.0","-3.1","-0.4","11270"
"Colby Rasmus","Orioles","18","49","1","5","1","0","6.1 %","38.8 %",".089",".200",".133",".204",".222",".196","16","0.4","-4.5","-1.4","-0.4","9893"
"Chris Young","Angels","56","128","6","17","13","2","8.6 %","28.9 %",".195",".183",".168",".252",".363",".268","69","1.3","-3.3","-5.3","-0.5","3882"
"Dominic Smith","Mets","56","149","5","14","11","0","2.7 %","31.5 %",".196",".297",".224",".255",".420",".288","84","0.2","-2.8","-6.4","-0.5","15653"
"Carlos Tocci","Rangers","66","135","0","11","5","0","5.2 %","28.9 %",".058",".329",".225",".271",".283",".246","44","0.0","-9.1","0.1","-0.5","14558"
"Matt den Dekker","Mets","8","21","0","0","1","0","9.5 %","42.9 %",".000",".000",".000",".095",".000",".066","-65","0.1","-4.1","-1.2","-0.5","11385"
"Carlos Gomez","Rays","118","408","9","42","32","12","6.1 %","25.2 %",".128",".266",".208",".298",".336",".285","80","-0.6","-10.3","-7.9","-0.5","4881"
"Mike Tauchman","Rockies","21","37","0","5","0","1","10.8 %","40.5 %",".031",".176",".094",".194",".125",".160","-22","0.6","-4.9","-1.5","-0.5","15274"
"Rafael Ortega","Marlins","41","143","0","10","7","5","7.0 %","16.1 %",".038",".282",".233",".287",".271",".251","59","-2.1","-9.3","-0.8","-0.6","10323"
"Charlie Tilson","White Sox","41","121","0","7","11","2","8.3 %","16.5 %",".028",".322",".264",".331",".292",".282","77","-1.8","-5.1","-4.7","-0.6","12983"
"Willie Calhoun","Rangers","35","108","2","8","11","0","5.6 %","22.2 %",".111",".267",".222",".269",".333",".262","55","-0.2","-6.0","-3.6","-0.6","17838"
"Abraham Almonte","Royals","50","151","3","15","9","2","9.9 %","23.8 %",".104",".219",".179",".260",".284",".244","48","-0.7","-10.0","-1.1","-0.6","5486"
"Ryan Cordell","White Sox","19","40","1","3","4","0","0.0 %","37.5 %",".108",".130",".108",".125",".216",".144","-17","0.1","-5.5","-1.9","-0.6","15181"
"Ryan Rua","Rangers","61","147","6","17","12","3","3.4 %","36.1 %",".165",".259",".194",".221",".360",".248","45","1.0","-8.7","-2.4","-0.6","12409"
"Dustin Fowler","Athletics","69","203","6","19","23","6","3.9 %","23.2 %",".130",".262",".224",".256",".354",".263","65","-1.0","-9.5","-3.5","-0.6","17098"
"Kyle Tucker","Astros","28","72","0","10","4","1","8.3 %","18.1 %",".063",".176",".141",".236",".203",".207","28","-0.8","-7.0","-1.7","-0.7","18345"
"Moises Sierra","Nationals","27","60","0","4","4","1","3.3 %","33.3 %",".037",".250",".167",".217",".204",".191","12","-1.4","-7.9","-0.3","-0.7","6050"
"J.B. Shuck","Marlins","70","142","0","10","4","2","7.0 %","15.5 %",".038",".231",".192",".255",".231",".219","37","0.2","-10.7","-0.5","-0.7","6677"
"Gregor Blanco","Giants","68","203","2","19","12","6","5.9 %","28.6 %",".101",".300",".217",".262",".317",".254","58","1.3","-9.1","-4.2","-0.7","3123"
"Jabari Blash","Angels","24","45","0","4","1","2","11.1 %","53.3 %",".026",".250",".103",".200",".128",".163","-3","-0.3","-5.8","-2.6","-0.7","11247"
"Chris Owings","Diamondbacks","106","309","4","34","22","11","7.8 %","24.3 %",".096",".265",".206",".272",".302",".250","51","0.2","-18.2","0.8","-0.8","10030"
"Jose Pirela","Padres","146","473","5","54","32","6","6.3 %","18.8 %",".096",".301",".249",".300",".345",".283","78","-4.6","-17.5","-5.0","-0.8","5485"
"Hunter Pence","Giants","97","248","4","19","24","5","4.4 %","23.8 %",".106",".282",".226",".258",".332",".254","59","2.5","-10.1","-6.0","-0.9","8252"
"Noel Cuevas","Rockies","75","153","2","16","10","1","3.9 %","15.7 %",".082",".267",".233",".268",".315",".254","40","-0.2","-11.4","-1.9","-0.9","11894"
"Paulo Orlando","Royals","25","93","0","6","5","0","3.2 %","26.9 %",".033",".231",".167",".194",".200",".176","2","-0.3","-11.3","-1.1","-1.0","8628"
"Lewis Brinson","Marlins","109","406","11","31","42","2","4.2 %","29.6 %",".139",".257",".199",".240",".338",".248","56","1.1","-20.6","-1.5","-1.0","14352"
"Austin Jackson","- - -","116","375","3","29","32","3","6.9 %","35.5 %",".081",".387",".245",".299",".326",".275","74","-0.4","-12.5","-8.9","-1.0","9848"
"Victor Reyes","Tigers","100","219","1","35","12","9","2.3 %","21.0 %",".066",".277",".222",".239",".288",".229","39","0.8","-15.2","-1.7","-1.0","15487"
"Dexter Fowler","Cardinals","90","334","8","40","31","5","11.4 %","22.5 %",".118",".210",".180",".278",".298",".260","62","2.3","-13.3","-8.6","-1.2","4062"
"Trayce Thompson","- - -","51","137","3","15","9","3","5.1 %","36.5 %",".094",".158",".117",".162",".211",".162","-5","0.9","-16.3","-1.0","-1.3","9952"
"Magneuris Sierra","Marlins","54","156","0","10","7","3","3.8 %","25.0 %",".020",".259",".190",".222",".211",".192","19","1.2","-14.3","-5.5","-1.5","17023"
